Date,Open,High,Low,Close
9/4/23,89.976685,90.979271,89.392578,90.676674
10/4/23,90.679436,94.204346,90.031815,93.821228
11/4/23,93.825928,96.887764,93.380363,94.311798
12/4/23,94.307854,94.677887,91.249123,92.504158
13/4/23,92.135078,94.537613,91.930389,94.259499
14/4/23,94.266335,98.806259,93.996773,96.451973
15/4/23,96.452698,97.242294,95.181625,96.86821
16/4/23,96.860451,101.860039,95.654579,100.267448
17/4/23,100.257706,100.302933,97.982254,98.674698
18/4/23,98.699631,103.049606,98.156731,101.851418
19/4/23,101.845772,101.860107,89.467819,90.440681
20/4/23,90.435074,91.883537,87.580452,90.239655
21/4/23,90.241974,90.672142,84.895081,85.517342
22/4/23,85.516357,87.251503,85.032768,87.098526
23/4/23,87.098724,87.130852,84.923111,86.897324
24/4/23,86.884995,88.882362,86.374855,88.407341
25/4/23,88.402985,91.654968,87.416229,91.108345
26/4/23,91.107857,93.802841,85.433022,88.254189
27/4/23,88.25872,90.510696,87.783218,89.688812
28/4/23,89.693436,90.180992,88.31118,89.731384
29/4/23,89.723907,91.455704,89.501831,91.087517
30/4/23,91.087074,91.393822,88.262856,88.533623
1/5/23,88.512329,88.811951,85.590904,86.742615
2/5/23,86.744492,89.026085,86.294777,88.295792
3/5/23,88.294945,89.775536,85.852837,88.894852
4/5/23,88.894318,89.100449,87.650299,88.494453
5/5/23,88.492111,89.526695,87.076103,88.838669
6/5/23,88.839821,89.342979,82.337173,83.631439
7/5/23,83.625854,84.695541,83.34185,83.572609
8/5/23,83.569977,84.861237,76.82547,77.873436
9/5/23,77.87397,80.059753,77.595108,80.021584
10/5/23,80.015068,81.968872,78.177956,81.069977
11/5/23,81.069855,81.798454,78.894051,81.040878
12/5/23,81.028175,81.307938,77.8498,80.503136
13/5/23,80.502625,80.975189,80.142456,80.305702
14/5/23,80.309692,83.81517,80.014259,83.444298
15/5/23,83.445,88.424675,82.564758,87.066566
16/5/23,87.064224,90.239113,86.417572,89.857719
17/5/23,89.867004,94.873375,89.833435,93.889732
18/5/23,93.88942,94.067749,89.684647,90.542908
19/5/23,90.532806,93.237434,90.441109,91.702385
20/5/23,91.711212,92.68251,90.824493,92.371315
21/5/23,92.377602,93.29615,91.468597,92.27887
22/5/23,92.277184,92.659637,90.364304,90.946075
23/5/23,90.948753,92.988068,90.690895,91.632332
24/5/23,91.636017,91.792946,85.111,86.000366
25/5/23,85.984688,86.601036,83.53244,86.600677
26/5/23,86.60363,88.043518,86.279793,87.268066
27/5/23,87.256149,88.784302,87.064369,88.650314
28/5/23,88.649071,92.158066,88.338821,91.579964
29/5/23,91.57827,92.102997,90.40757,91.000458
30/5/23,90.996735,93.118324,90.729164,92.326111
31/5/23,92.322708,92.588692,88.349831,90.539009
1/6/23,90.537476,95.643593,89.662918,93.972336
2/6/23,93.99617,95.526382,93.176521,95.417747
3/6/23,95.416916,97.177094,94.367722,95.993134
4/6/23,95.996979,96.462967,94.268448,94.289917
5/6/23,94.293243,94.484978,85.063393,87.834602
6/6/23,87.828613,91.293861,86.10228,90.920715
7/6/23,90.916183,91.112823,87.903305,88.848389
8/6/23,88.855042,89.440239,87.454285,88.46656
9/6/23,88.470039,89.88707,87.376076,89.232033
10/6/23,89.233452,89.265106,75.292984,77.351707
11/6/23,77.34903,78.885406,76.54277,77.698936
12/6/23,77.695969,77.800247,75.981384,77.548096
13/6/23,77.545448,79.205063,76.641762,77.443825
14/6/23,77.443779,78.058868,72.023109,73.163292
15/6/23,73.166046,74.978279,72.256889,74.526436
16/6/23,74.528152,76.664001,74.237961,76.049126
17/6/23,76.053062,77.654831,75.801025,76.912415
18/6/23,76.908684,78.434631,76.503403,77.178253
19/6/23,77.179764,77.632034,76.355797,77.422028
20/6/23,77.42572,80.652405,76.015526,80.308899
21/6/23,80.307419,87.154671,80.134224,85.147743
22/6/23,85.150505,88.695511,84.866455,86.070221
23/6/23,86.064316,92.427979,85.4356,91.209457
24/6/23,91.211723,93.15873,87.156143,89.744026
25/6/23,89.740479,90.314201,87.130508,88.275169
26/6/23,88.267952,89.903084,86.416504,87.275703
27/6/23,87.272263,89.37429,87.05574,87.998276
28/6/23,88.015442,88.052437,82.12751,83.06115
29/6/23,83.057808,85.658569,83.042068,84.775871
30/6/23,84.768753,110.795258,84.589302,108.165329
1/7/23,108.201744,111.757408,104.695824,107.229202
2/7/23,107.225952,113.627121,105.709061,113.217293
3/7/23,113.231705,114.497063,105.973068,106.94577
4/7/23,106.954147,109.161324,104.710991,104.710991
5/7/23,104.690018,106.271797,99.395523,102.693993
6/7/23,102.677605,105.512474,95.667229,95.667229
7/7/23,95.646278,98.382378,95.095688,98.242477
8/7/23,98.242294,98.380211,96.918228,97.874779
9/7/23,97.878448,98.306923,95.061836,95.17955
10/7/23,95.182213,97.641098,92.892586,96.731346
11/7/23,96.737701,98.120026,95.815361,96.786438
12/7/23,96.785233,97.753258,94.788307,96.280182
13/7/23,96.277916,104.019463,95.792992,101.927139
14/7/23,101.92617,103.237434,92.939896,95.158661
15/7/23,95.16153,95.655182,94.186653,94.751808
16/7/23,94.757256,95.223877,92.75621,92.905281
17/7/23,92.910645,93.522675,90.334137,92.293449
18/7/23,92.290169,92.861053,90.163666,91.50322
19/7/23,91.515007,94.061165,91.515007,92.161797
20/7/23,92.153465,93.480644,91.681442,92.382057
21/7/23,92.384041,94.605263,91.963257,94.051865
22/7/23,94.048172,96.151344,91.718018,92.051514
23/7/23,92.062996,93.47718,91.820366,93.258865
24/7/23,93.249336,93.249336,88.219017,89.153465
25/7/23,89.155029,89.976944,88.857826,89.531403
26/7/23,89.53093,90.9702,88.949051,90.621422
27/7/23,90.626953,91.728279,89.925934,90.493767
28/7/23,90.493202,91.894402,90.493202,91.530571
29/7/23,91.519188,94.715752,90.966751,94.598091
30/7/23,94.570419,95.692551,92.211288,94.091057
31/7/23,94.089333,94.822273,91.647667,92.243134
1/8/23,92.244263,93.820404,89.78801,93.820404
2/8/23,93.818504,94.313004,86.918282,87.489059
3/8/23,87.491722,88.226563,82.696236,82.707794
4/8/23,82.693336,83.706123,81.506645,82.078911
5/8/23,82.086472,83.297775,81.581238,83.105591
